报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),204807,144218,86792,41579,116244,79371,49521,22096,77577,55557,33818,15629,49413,33364,41696,29511,27951,
营业收入(万元),204807,144218,86792,41579,116244,79371,49521,22096,77577,55557,33818,15629,49413,33364,41696,29511,27951,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),185320,129564,77329,37130,102578,69054,42539,19396,69258,49378,30924,14232,42944,29142,37142,27230,25378,
营业成本(万元),151588,107401,64815,30947,81824,54356,33835,15746,55273,39914,24637,11530,34410,23168,29753,21305,21123,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),5218,4421,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1003,575,377,134,655,458,296,134,471,267,199,107,354,335,236,178,132,
销售费用(万元),18986,11468,6672,2904,9774,7026,4201,1839,6290,3854,2372,1024,3369,2325,2861,2077,940,
管理费用(万元),8326,5721,5960,2713,9327,6506,3863,1730,7431,5236,3710,1558,4963,3415,3595,2996,2838,
财务费用(万元),-514,-369,-440,251,681,469,225,-82,-611,-112,-124,4,-294,-178,90,480,191,
资产减值损失(万元),713,346,-56,180,318,238,119,28,404,218,129,9,142,77,606,193,152,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),574,320,174,113,469,333,33,0,-9,-8,-5,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-305,--,--,-31,-50,--,0,0,-9,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),21513,16187,10428,4582,15412,10650,7015,2700,8311,6171,2889,1396,6469,4222,4555,2281,2574,
营业外收入(万元),294,2,2,18,921,1168,666,639,1283,1092,724,37,1139,735,869,684,536,
营业外支出(万元),8,8,3,3,7,27,4,0,4,3,3,8,18,6,4,10,515,
非流动资产处置损失(万元),--,--,--,--,--,0,0,--,3,3,3,--,--,--,--,--,273,
利润总额(万元),21799,16181,10426,4597,16327,11791,7677,3339,9590,7259,3609,1426,7589,4950,5420,2955,2595,
所得税费用(万元),3361,2392,1458,776,2144,1827,1010,513,1480,995,547,259,1265,842,1219,677,520,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),18439,13788,8968,3821,14183,9964,6667,2826,8110,6264,3062,1166,6324,4109,4201,2279,2075,
归属于母公司所有者的净利润(万元),17373,12813,8371,3453,13341,9319,6027,2756,8400,6414,3413,1295,6624,4500,4201,2279,2075,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),1065,976,597,368,842,645,640,70,-291,-151,-351,-129,-301,-391,--,--,--,
基本每股收益,0.8,0.59,0.39,0.29,1.11,0.78,0.9,0.41,1.68,1.28,0.68,0.26,1.32,0.9,0.84,--,--,
稀释每股收益,0.8,0.59,0.38,0.29,1.11,0.78,0.9,0.41,1.68,1.28,0.68,0.26,1.32,0.9,0.84,--,--,
