报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),53929,34528,15870,66886,47962,31492,15178,62559,28839,47198,44695,35216,
营业收入(万元),53929,34528,15870,66886,47962,31492,15178,62559,28839,47198,44695,35216,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),46294,29866,14032,56736,40873,26586,13071,54529,22845,41796,39354,32384,
营业成本(万元),40245,25975,11813,49324,35229,23009,11142,44524,20340,35228,33729,27156,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),522,--,--,--,517,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),382,243,110,623,485,341,170,446,174,423,229,220,
销售费用(万元),3150,2078,1000,4032,2919,1944,1036,4065,1818,3663,3402,2881,
管理费用(万元),2007,1496,787,2121,1131,1065,607,6128,1004,1486,1473,1291,
财务费用(万元),-188,-1,281,632,452,263,116,89,62,157,350,638,
资产减值损失(万元),176,75,40,4,139,-37,--,-722,-553,839,171,198,
公允价值变动收益(万元),5,21,--,--,--,--,--,--,--,23,-10,-23,
投资收益(万元),1661,916,359,845,1004,613,200,834,621,964,766,749,
对联营企业和合营企业的投资收益(万元),947,613,359,833,993,608,200,823,615,860,692,717,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),9259,5600,2207,10982,8077,5519,2307,8747,6615,6369,6097,3557,
营业外收入(万元),646,195,116,380,269,143,134,253,40,444,229,206,
营业外支出(万元),10,3,1,4,4,13,13,175,84,25,45,96,
非流动资产处置损失(万元),--,--,--,--,--,9,--,--,84,--,40,79,
利润总额(万元),9896,5792,2322,11357,8341,5650,2428,8825,6570,6788,6281,3668,
所得税费用(万元),2183,1271,481,2701,1867,1316,644,2043,1546,1455,1390,716,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),7713,4522,1841,8656,6474,4334,1784,6782,5024,5333,4891,2952,
归属于母公司所有者的净利润(万元),7713,4522,1841,8656,6474,4334,1784,6782,5024,5099,4505,2690,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,234,385,262,
基本每股收益,1.02,0.62,0.28,1.44,1.08,0.72,0.3,1.13,0.84,0.85,0.75,0.45,
稀释每股收益,1.02,0.62,0.28,1.44,1.08,0.72,0.3,1.13,0.84,0.85,0.75,0.45,
