 报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),728989,2489088,1642287,1772440,620103,1867499,1476731,1150131,357534,2291580,1273754,2317977,1493014,1176181,--,--,--, 
 向中央银行借款净增加额(万元,1334,--,98920,22100,47800,291428,134698,33918,3918,--,--,50000,50000,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,264321,221432,614436,528957,--,--,218089,383198,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),342589,1137916,821364,534731,275229,855100,597321,390658,190585,724874,346693,703621,347326,777241,--,--,--, 
 拆入资金净增加额(万元),66705,200610,469830,133517,70771,41867,--,8702,--,--,--,170775,--,160000,--,--,--, 
 回购业务资金净增加额(万元),--,257964,62257,--,321731,637326,358187,--,64983,477973,1016080,--,--,188730,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),18971,44974,37466,21246,35937,23990,30703,5099,5047,163578,8534,70306,118043,49436,--,--,--, 
 经营活动现金流入小计(万元),1574516,4681775,3812791,3212939,1882559,4585729,3486395,2118546,1289448,3865657,2776325,3593030,2339413,2965089,--,--,--, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),1618517,4265110,3605839,3060648,1598068,2630308,1824340,1207882,570330,1229303,603523,689490,365289,921547,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,4859,--,11453,--,347973,398420,289014,297446,285917,163209,161549,32209,5699,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),117908,381457,284151,188701,116262,386236,301363,226912,116912,344376,183709,281292,147099,271243,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
