 报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),64613,290258,232934,139978,81512,342764,246036,152674,75532,262336,186500,138503,153036,134372,140443, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1384,9931,8242,5106,1307,7896,5297,4247,1884,8113,3426,2301,3093,2303,2319, 
 收到的其他与经营活动有关的现金(万元),1298,7796,5055,4028,2478,5403,5083,3863,550,3791,2749,1721,3048,3638,2914, 
 经营活动现金流入小计(万元),67294,307986,246232,149112,85297,356062,256416,160784,77966,274239,192675,142525,159177,140313,145676, 
 购买商品、接受劳务支付的现金(万元),28703,151279,112720,56514,33131,146504,101655,64219,32917,112138,83868,67278,82217,90413,108359, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5637,19416,14952,10765,6428,16767,12643,8621,5077,14708,12092,8929,10403,10199,9073, 
 支付的各项税费(万元),2753,44785,36873,29558,20250,43815,39470,25645,11160,45804,20072,14671,11532,8568,11574, 
 支付的其他与经营活动有关的现金(万元),5362,26527,21483,15727,6609,27439,20534,13338,4208,22515,19031,13653,15702,16472,15093, 
 经营活动现金流出小计(万元),42454,242008,186028,112565,66419,234526,174303,111822,53362,195165,135063,104531,119853,125652,144099, 
 经营活动产生的现金流量净额(万元),24840,65978,60204,36547,18878,121537,82113,48962,24603,79074,57613,37995,39324,14660,1577, 
 收回投资所收到的现金(万元),87365,176120,103298,25507,2010,49375,22435,14929,12580,11916,65583,63422,274875,107120,43991, 
 取得投资收益所收到的现金(万元),--,300,300,300,--,--,--,--,--,200,116,2406,292,605,803, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),150,170,120,137,52,171,94,67,34,120,2850,4150,1409,1787,44, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,742,742,--,--,--, 
 收到的其他与投资活动有关的现金(万元),100,2641,2403,2348,2336,10077,10186,10107,9581,10559,40608,40259,35595,86554,100560, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),87615,179230,106121,28292,4398,59623,32715,25104,22195,22795,109899,110980,312171,196066,145398, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1620,15460,12969,6863,3994,17303,11620,7805,3509,8886,11898,12312,9296,5952,14581, 
 投资所支付的现金(万元),65800,265548,208708,106184,18000,90641,55891,25241,6641,13671,45025,41633,270436,96678,42977, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,-49,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,6500,6500,6500,--,--,--,--,--,13936,20420,20379,37111,84114,95019, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),67420,287508,228177,119547,21994,107945,67511,33046,10150,36494,77344,74277,316843,186744,152576, 
 投资活动产生的现金流量净额(万元),20195,-108277,-122056,-91255,-17596,-48321,-34796,-7943,12045,-13699,32556,36703,-4672,9322,-7178, 
 吸收投资收到的现金(万元),--,185484,185484,185484,181290,105,--,--,--,100,85,--,180,--,60, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,105,--,--,--,100,85,--,180,--,60, 
 取得借款收到的现金(万元),--,5000,5000,5000,5000,40000,27750,24750,7000,50132,99639,83434,220193,161601,156448, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,4194,--,--,--,--,--,23300,11000,90174,94309,78840, 
 筹资活动现金流入小计(万元),0,190484,190484,190484,190484,40105,27750,24750,7000,50232,123024,94434,310547,255910,235348, 
 偿还债务支付的现金(万元),--,45000,45000,45000,10000,47000,33750,27750,7000,76744,120764,101781,249585,153407,143132, 
 分配股利、利润或偿付利息所支付的现金(万元),--,6262,6236,6236,412,40004,39527,37502,35371,16258,46362,39050,19714,22223,14545, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,21,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,3483,2495,2358,113,1226,188,94,94,4479,38508,23508,67955,94280,76650, 
 筹资活动现金流出小计(万元),0,54744,53731,53594,10525,88230,73465,65346,42466,97481,205633,164339,337254,269909,234327, 
 筹资活动产生的现金流量净额(万元),0,135739,136753,136890,179958,-48125,-45715,-40596,-35466,-47249,-82610,-69904,-26707,-13999,1021, 
 汇率变动对现金及现金等价物的影响(万元),1727,-2726,2414,178,-1203,1420,1762,-58,-479,-1798,1674,958,1403,171,-701, 
 现金及现金等价物净增加额(万元),46763,90714,77315,82360,180038,26510,3364,365,704,16327,9233,5752,9348,10155,-5281, 
 加:期初现金及现金等价物余额(万元),174953,84239,84239,84239,84239,57729,57729,57729,57729,41401,32169,32169,22820,12666,17947, 
 期末现金及现金等价物余额(万元),221716,174953,161553,166599,264276,84239,61093,58094,58433,57729,41401,37920,32169,22820,12666, 
 净利润(万元),--,64530,--,42983,--,110836,--,--,--,95537,36471,--,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1098,--,691,--,927,--,--,--,394,6075,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,8550,--,3688,--,6346,--,--,--,6860,5422,--,--,--,--, 
 无形资产摊销(万元),--,238,--,108,--,212,--,--,--,179,181,--,--,--,--, 
 长期待摊费用摊销(万元),--,840,--,365,--,733,--,--,--,863,955,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,33,--,-35,--,255,--,--,--,170,-16,--,--,--,--, 
 固定资产报废损失(万元),--,409,--,172,--,448,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,-977,--,-1116,--,-34,--,--,--,-2,710,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,3198,--,354,--,526,--,--,--,4173,3014,--,--,--,--, 
 投资损失(万元),--,-3457,--,-400,--,-2245,--,--,--,-1759,-868,--,--,--,--, 
 递延所得税资产减少(万元),--,-913,--,94,--,-352,--,--,--,-547,-1681,--,--,--,--, 
