报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),6229313,5623170,5749282,3095183,1551898,493454,960575,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,1566,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),92,55,176,--,--,--,--,
应收账款(万元),8611698,9032767,6860091,5106879,7851320,5457378,4700936,
预付款项(万元),21522,34571,28086,21802,16251,11386,13298,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),16608,--,12866,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),--,93666,97007,79743,309471,3260087,1026843,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),3746764,4576891,4336887,3749522,3555104,2856144,2705476,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),247870,250797,204775,207837,383006,113257,164059,
流动资产合计(万元),18992732,19611917,17290736,12260965,13667050,12191707,9571188,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),4076,4115,3968,3946,300,4639,6859,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),39366,13879,13778,12985,--,3750,921,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,1982,2065,
固定资产原值(万元),2916019,--,2866257,--,2752407,2798169,2587787,
累计折旧(万元),2156412,--,1973441,--,1849155,1662241,1386988,
固定资产净值(万元),759607,--,892817,--,903252,1135929,1200799,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),759607,851349,892817,901554,903252,1135929,1200799,
在建工程(万元),--,44808,45899,68267,72753,54561,31428,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),19698,18241,17881,23177,22529,24435,24072,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),54915,50211,40227,38065,34107,23119,15117,
股权分置流通权(万元),--,--,--,--,--,--,--,
