报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),17955,10781,12248,12138,11019,7865,8053,9865,8029,7565,8110,17286,2193,2131,1610,2566,1574,5362,1290,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),910,1105,3651,2003,1015,1919,1996,2485,1197,2115,1588,1413,698,773,1257,822,1050,2023,307,
应收账款(万元),8314,17079,13473,9418,10263,10195,8777,8072,7445,8931,7154,7915,6808,8244,5620,5148,5642,5149,3502,
预付款项(万元),434,140,238,275,304,112,1104,1011,1209,163,27,7,216,155,145,151,167,190,177,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,54,--,--,--,--,22,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,16,--,145,--,6,80,16,32,6,88,74,62,37,533,189,188,890,553,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),10018,8573,10304,9241,8741,7999,7785,6952,6660,6058,5912,4890,4832,5004,3058,3268,3572,3744,2888,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1403,19,4000,4027,4027,4065,2,2,4021,6082,6006,6,60,71,38,1,3000,--,--,
流动资产合计(万元),44383,40057,44145,37246,35483,32160,27797,28404,28592,30943,28885,31590,14870,16415,12261,12146,15194,17359,8718,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,37490,--,32140,--,31988,--,29981,--,28790,--,27097,--,27089,19454,--,--,--,--,
累计折旧(万元),--,13359,--,10148,--,9677,--,8811,--,8209,--,7530,--,7011,5927,--,--,--,--,
固定资产净值(万元),--,24131,--,21992,--,22311,--,21170,--,20581,--,19567,--,20078,13526,--,--,--,--,
固定资产减值准备(万元),--,80,--,61,--,61,--,61,--,61,--,61,--,61,61,--,--,--,--,
固定资产(万元),--,24051,--,21954,--,22250,21527,21109,20580,20521,20319,19507,19766,20017,13466,13654,13872,12705,12293,
