报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),17134,20523,17541,27956,29577,22257,24903,21514,5759,7649,4719,6421,6340,1599,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1350,1740,2680,2914,1450,2374,2783,5546,2449,12,--,90,--,--,
应收账款(万元),15143,7821,9268,9112,7574,3752,5237,4035,5204,3378,7989,5946,3742,1933,
预付款项(万元),1557,5157,3554,1901,1088,1610,1604,1139,958,801,791,610,166,447,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,75,41,40,981,986,37,90,23,26,28,18,49,37,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),20220,20923,15655,14412,10977,12645,10083,10377,10385,9152,10100,3376,3088,2459,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1074,809,826,802,355,243,284,114,85,19,1,--,--,--,
流动资产合计(万元),56576,57048,49565,57137,52002,43867,44931,42814,24863,21038,23629,16461,13384,6475,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),70,52,45,49,59,56,72,75,76,78,80,--,--,88,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),22324,--,19652,--,12620,--,6060,--,5893,--,5824,5631,--,4624,
累计折旧(万元),6402,--,5791,--,3177,--,2873,--,2691,--,2280,1808,--,834,
固定资产净值(万元),15922,--,13860,--,9443,--,3186,--,3203,--,3544,3822,--,3790,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),15922,14246,13860,12912,9443,8915,3186,3142,3203,3388,3544,3822,4091,3790,
在建工程(万元),--,674,49,580,236,--,5291,5234,4567,2362,979,--,--,419,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),8194,8324,8383,8556,5041,5093,5057,5074,5099,5205,5254,3386,3444,3408,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),12225,12225,12225,12084,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),42,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),186,98,120,126,137,202,220,217,242,275,309,421,401,33,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,180,--,--,
非流动资产合计(万元),37488,35618,34682,34307,14916,14267,13826,13741,13187,11308,10165,7809,7937,7739,
资产总计(万元),94063,92666,84247,91444,66918,58133,58757,56556,38050,32346,33793,24270,21321,14214,
短期借款(万元),5988,5500,3500,7700,3000,--,2000,2000,2000,3000,4000,3500,3000,1500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
