代码,    名称,现价,所属行业,总市值,流通市值,
SH600000,浦发银行,10.63,银行,312012610000,298743010000,
SH600004,白云机场,15.80,机场航运,32695264000,32695264000,
SH600006,东风汽车,3.98,汽车整车,7960000000,7960000000,
SH600007,中国国贸,14.54,房地产开发,14645888000,14645888000,
SH600008,首创股份,3.29,环保工程,18705125000,18705125000,
SH600009,上海机场,70.70,机场航运,136235960000,77308781000,
SH600010,包钢股份,1.08,钢铁,49231835000,34211389000,
SH600011,华能国际,4.22,电力,66245954000,46410336000,
SH600012,皖通高速,5.36,公路铁路运输,8890149600,6247616000,
SH600015,华夏银行,6.56,银行,100940189000,84116824000,
SH600016,民生银行,5.89,银行,257878440000,208871910000,
SH600017,日照港,2.43,港口航运,7473838900,7473838900,
SH600018,上港集团,4.18,港口航运,96865960000,96865960000,
SH600019,宝钢股份,4.87,钢铁,108461173000,107899635000,
SH600020,中原高速,3.92,公路铁路运输,8809697600,8809697600,
SH600021,上海电力,7.36,电力,19262328000,17275733000,
SH600022,山东钢铁,1.27,钢铁,13902118000,13902118000,
SH600023,浙能电力,3.49,电力,47466408000,47466408000,
SH600025,华能水电,3.55,电力,63900000000,31694400000,
SH600026,中远海能,8.48,港口航运,40387627000,23201559000,
SH600027,华电国际,3.67,电力,36197124000,25674377000,
SH600028,中国石化,4.46,基础化学,539977600000,426187660000,
SH600029,南方航空,5.40,机场航运,69529687000,43802210000,
SH600030,中信证券,23.70,证券,306364590000,232607480000,
SH600031,三一重工,19.65,专用设备,165758220000,165657370000,
SH600033,福建高速,2.83,公路铁路运输,7766652000,7766652000,
SH600035,楚天高速,3.27,公路铁路运输,5535872300,5287239900,
SH600036,招商银行,35.09,银行,884964380000,723869660000,
SH600037,歌华有线,8.44,通信服务,11746605300,11746605300,
SH600038,中直股份,44.21,国防军工,26060766000,26060766000,
SH600039,四川路桥,3.81,建筑装饰,14117290000,13171447500,
SH600048,保利地产,16.24,房地产开发,193786640000,193786640000,
SH600050,中国联通,5.22,通信服务,161953150000,112229534000,
SH600051,宁波联合,8.21,房地产开发,2552324800,2552324800,
SH600052,浙江广厦,3.89,传媒,3391259600,3391259600,
SH600053,九鼎投资,26.25,保险及其他,11380446000,11380446000,
SH600054,黄山旅游,8.49,景点及旅游,6192431400,4357917000,
SH600055,万东医疗,14.54,医疗器械服务,7863467500,7863467500,
SH600056,中国医药,14.33,医药商业,15311398000,15305990000,
SH600057,厦门象屿,5.73,物流,12362211900,12362211900,
SH600058,五矿发展,6.44,贸易,6903105000,6903105000,
SH600059,古越龙山,7.85,饮料制造,6346914700,6346914700,
SH600060,海信视像,11.05,视听器材,14458718000,14458718000,
SH600061,国投资本,11.94,证券,50471929000,49835553000,
SH600062,华润双鹤,12.78,化学制药,13332577900,13332577900,
SH600063,皖维高新,3.36,化工合成材料,6471006200,6471006200,
SH600064,南京高科,8.88,园区开发,10975297200,10975297200,
SH600066,宇通客车,13.04,汽车整车,28869767000,28869767000,
SH600067,冠城大通,3.40,房地产开发,5073176500,5073176500,
SH600068,葛洲坝,6.53,建筑装饰,30069197000,30069197000,
SH600070,浙江富润,9.14,综合,4770587500,4378946300,
SH600071,凤凰光学,8.66,其他电子,2438429900,2056511500,
SH600072,中船科技,11.03,国防军工,8120836200,8120836200,
SH600073,上海梅林,8.47,食品加工制造,7942568600,7942568600,
SH600075,新疆天业,4.52,基础化学,4395801000,4395801000,
SH600076,康欣新材,3.63,种植业与林业,3754378800,3754378800,
SH600077,宋都股份,3.07,房地产开发,4114175500,4114175500,
SH600078,澄星股份,4.72,化学制品,3127343900,3127343900,
SH600079,人福医药,20.70,化学制药,28021679000,26621216000,
SH600080,金花股份,5.49,生物制品,2049253900,1676074300,
SH600081,东风科技,10.10,汽车零部件,3166956000,3166956000,
SH600082,海泰发展,3.37,园区开发,2177410300,2137556600,
SH600085,同仁堂,25.68,中药,35219356000,35219356000,
SH600086,东方金钰,1.50,家用轻工,2025000000,1585267500,
SH600088,中视传媒,12.14,景点及旅游,4828155700,4828155700,
SH600089,特变电工,7.53,电气设备,27968775000,27968775000,
SH600090,同济堂,3.28,医药商业,4722094500,4722094500,
SH600093,易见股份,12.61,保险及其他,14154063000,14154063000,
SH600094,大名城,8.11,房地产开发,20074886000,18463266000,
SH600095,哈高科,9.30,房地产开发,3359751200,3359751200,
SH600096,云天化,4.78,化学制品,6839109000,6316192300,
SH600097,开创国际,9.29,养殖业,2238300600,2102076500,
SH600098,广州发展,5.82,电力,15866464000,15866464000,
SH600099,林海股份,5.87,非汽车交运,1286234400,1286234400,
SH600100,同方股份,7.29,计算机设备,21606823000,21606823000,
SH600101,明星电力,5.97,电力,2515953000,2515953000,
SH600103,青山纸业,1.92,造纸,4427170200,4427170200,
SH600104,上汽集团,18.90,汽车整车,220817420000,220817420000,
SH600105,永鼎股份,4.10,通信设备,5106586700,5077333000,
SH600106,重庆路桥,2.83,公路铁路运输,3419219000,3419219000,
SH600107,美尔雅,9.61,服装家纺,3459600000,3459600000,
SH600108,亚盛集团,3.38,种植业与林业,6580573100,6580573100,
SH600109,国金证券,9.71,证券,29366529000,29366529000,
SH600110,诺德股份,4.68,其他电子,5383460600,5383460600,
SH600111,北方稀土,9.03,有色冶炼加工,32806586000,32806586000,
SH600113,浙江东日,6.23,零售,2563216100,2563216100,
SH600114,东睦股份,9.33,新材料,5751520600,5692807300,
SH600115,东方航空,4.38,机场航运,71742250000,42961167000,
SH600116,三峡水利,8.20,电力,8142645100,8142645100,
SH600117,西宁特钢,3.00,钢铁,3135354800,3135354800,
SH600118,中国卫星,32.88,国防军工,38880243000,38880243000,
SH600120,浙江东方,9.55,保险及其他,15197739000,11560527600,
SH600121,郑州煤电,1.86,煤炭开采加工,2266246400,2266246400,
SH600123,兰花科创,4.85,煤炭开采加工,5540640000,5540640000,
SH600125,铁龙物流,5.19,公路铁路运输,6775658500,6775658500,
SH600126,杭钢股份,7.92,钢铁,26747338000,26747338000,
SH600127,金健米业,10.14,农产品加工,6507681800,6507681800,
